https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,ETC/BTC,0.00022280,0.00022330,0.00022260,0.00022280,2832.91000000,0.63148100,60
1611100800000,2021-01-20 00:00:00,ETC/BTC,0.00021790,0.00022540,0.00021680,0.00022280,689931.60000000,152.29004554,18717
1611014400000,2021-01-19 00:00:00,ETC/BTC,0.00021030,0.00022980,0.00020870,0.00021760,1169481.95000000,256.81319260,29800
1610928000000,2021-01-18 00:00:00,ETC/BTC,0.00021440,0.00021650,0.00020810,0.00021040,540977.96000000,114.88496198,14300
1610841600000,2021-01-17 00:00:00,ETC/BTC,0.00021610,0.00022020,0.00020830,0.00021450,560149.60000000,119.94884957,15613
1610755200000,2021-01-16 00:00:00,ETC/BTC,0.00020610,0.00022260,0.00020410,0.00021610,679709.03000000,143.51945228,18833
1610668800000,2021-01-15 00:00:00,ETC/BTC,0.00019900,0.00021320,0.00019850,0.00020590,724404.11000000,148.03247912,20116
1610582400000,2021-01-14 00:00:00,ETC/BTC,0.00020310,0.00020400,0.00019330,0.00019890,683642.14000000,135.39271407,17689
1610496000000,2021-01-13 00:00:00,ETC/BTC,0.00020710,0.00022090,0.00020010,0.00020330,1005510.45000000,211.36112271,21208
1610409600000,2021-01-12 00:00:00,ETC/BTC,0.00020400,0.00021270,0.00020040,0.00020700,1192564.72000000,246.71272571,25237
1610323200000,2021-01-11 00:00:00,ETC/BTC,0.00023180,0.00023430,0.00020270,0.00020400,2166360.20000000,469.48986815,47449
1610236800000,2021-01-10 00:00:00,ETC/BTC,0.00019390,0.00024480,0.00019380,0.00023180,3268356.37000000,716.73909123,77247
1610150400000,2021-01-09 00:00:00,ETC/BTC,0.00017130,0.00019860,0.00016800,0.00019370,1331210.77000000,244.02664994,29665
1610064000000,2021-01-08 00:00:00,ETC/BTC,0.00018280,0.00018650,0.00016450,0.00017140,894125.88000000,154.17909730,20175
1609977600000,2021-01-07 00:00:00,ETC/BTC,0.00020610,0.00020700,0.00018210,0.00018290,748879.05000000,146.38541170,23689
1609891200000,2021-01-06 00:00:00,ETC/BTC,0.00021420,0.00022250,0.00020230,0.00020600,746949.35000000,158.90952049,25196
1609804800000,2021-01-05 00:00:00,ETC/BTC,0.00022020,0.00022800,0.00020300,0.00021420,691945.36000000,150.08417142,21195
1609718400000,2021-01-04 00:00:00,ETC/BTC,0.00019900,0.00027500,0.00019840,0.00022020,1727154.96000000,376.23427239,37345
1609632000000,2021-01-03 00:00:00,ETC/BTC,0.00017920,0.00020250,0.00017010,0.00019870,1111976.87000000,207.82132540,25560
1609545600000,2021-01-02 00:00:00,ETC/BTC,0.00019410,0.00019490,0.00017570,0.00017950,606774.43000000,111.35615102,14075
1609459200000,2021-01-01 00:00:00,ETC/BTC,0.00019570,0.00019970,0.00019220,0.00019410,297120.72000000,58.12433271,7528
1609372800000,2020-12-31 00:00:00,ETC/BTC,0.00019690,0.00020070,0.00019160,0.00019560,424442.03000000,83.29478429,10441
1609286400000,2020-12-30 00:00:00,ETC/BTC,0.00020890,0.00020970,0.00019470,0.00019670,423294.35000000,85.45299920,12654
1609200000000,2020-12-29 00:00:00,ETC/BTC,0.00021850,0.00022390,0.00020700,0.00020890,330691.56000000,70.47531924,11933
1609113600000,2020-12-28 00:00:00,ETC/BTC,0.00022120,0.00023050,0.00021140,0.00021860,591466.88000000,131.03180957,13379
1609027200000,2020-12-27 00:00:00,ETC/BTC,0.00022010,0.00022330,0.00020160,0.00022100,866261.48000000,186.10023943,20648
1608940800000,2020-12-26 00:00:00,ETC/BTC,0.00023300,0.00023510,0.00021740,0.00022060,388300.05000000,87.63670731,11086
1608854400000,2020-12-25 00:00:00,ETC/BTC,0.00023620,0.00024210,0.00022700,0.00023310,344298.02000000,80.96579644,12438
1608768000000,2020-12-24 00:00:00,ETC/BTC,0.00021920,0.00024160,0.00021640,0.00023630,579293.98000000,133.50503055,16743
