https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1609113600000,2020-12-28 00:00:00,ETH/BTC,0.02605900,0.02766600,0.02576000,0.02696700,612564.01400000,16455.43136438,321071
1609027200000,2020-12-27 00:00:00,ETH/BTC,0.02405500,0.02650000,0.02275400,0.02605700,732496.12100000,18044.22688085,358235
1608940800000,2020-12-26 00:00:00,ETH/BTC,0.02536400,0.02550600,0.02388800,0.02405500,316895.77000000,7885.09651553,166092
1608854400000,2020-12-25 00:00:00,ETH/BTC,0.02580600,0.02612600,0.02524000,0.02536300,263356.94900000,6775.30383044,129788
1608768000000,2020-12-24 00:00:00,ETH/BTC,0.02520600,0.02597900,0.02478000,0.02580600,282077.82500000,7126.68642100,147565
1608681600000,2020-12-23 00:00:00,ETH/BTC,0.02672900,0.02677000,0.02410700,0.02520000,392290.01300000,10148.30557984,219619
1608595200000,2020-12-22 00:00:00,ETH/BTC,0.02675300,0.02703900,0.02620900,0.02672900,268617.07100000,7143.62632471,142784
1608508800000,2020-12-21 00:00:00,ETH/BTC,0.02719500,0.02730900,0.02640200,0.02675300,219486.58500000,5902.23641310,137134
1608422400000,2020-12-20 00:00:00,ETH/BTC,0.02762200,0.02795700,0.02683100,0.02719300,218389.30100000,5995.45322308,141966
1608336000000,2020-12-19 00:00:00,ETH/BTC,0.02829300,0.02863200,0.02742200,0.02762100,277951.34300000,7803.46731063,163466
1608249600000,2020-12-18 00:00:00,ETH/BTC,0.02819300,0.02879500,0.02794400,0.02829200,245310.12300000,6935.82785751,146283
1608163200000,2020-12-17 00:00:00,ETH/BTC,0.02986600,0.03035000,0.02745900,0.02818500,488229.16400000,14076.90429666,285386
1608076800000,2020-12-16 00:00:00,ETH/BTC,0.03030600,0.03037500,0.02950900,0.02986400,284385.67900000,8537.08864438,154704
1607990400000,2020-12-15 00:00:00,ETH/BTC,0.03042100,0.03057100,0.03012600,0.03030500,157968.93700000,4794.97086859,83524
1607904000000,2020-12-14 00:00:00,ETH/BTC,0.03081800,0.03087900,0.03021300,0.03042100,138119.46500000,4213.43616567,74111
1607817600000,2020-12-13 00:00:00,ETH/BTC,0.03020500,0.03091500,0.03000100,0.03081800,164339.00900000,4999.95170409,83439
1607731200000,2020-12-12 00:00:00,ETH/BTC,0.03018600,0.03051200,0.02988100,0.03020700,141634.02800000,4282.69180555,79627
1607644800000,2020-12-11 00:00:00,ETH/BTC,0.03062300,0.03071000,0.03008500,0.03018100,178288.22500000,5427.06762583,99217
1607558400000,2020-12-10 00:00:00,ETH/BTC,0.03091200,0.03103300,0.03047400,0.03062100,180753.12400000,5551.64876658,93584
1607472000000,2020-12-09 00:00:00,ETH/BTC,0.03028600,0.03136500,0.02988000,0.03090800,252301.98100000,7721.03057523,143170
1607385600000,2020-12-08 00:00:00,ETH/BTC,0.03084800,0.03087100,0.02993900,0.03028700,259698.36900000,7921.25871783,152474
1607299200000,2020-12-07 00:00:00,ETH/BTC,0.03107400,0.03109000,0.03069100,0.03084800,177978.21600000,5504.18081463,109719
1607212800000,2020-12-06 00:00:00,ETH/BTC,0.03117000,0.03145400,0.03090700,0.03107600,211907.78100000,6600.86481050,123533
1607126400000,2020-12-05 00:00:00,ETH/BTC,0.03041500,0.03118400,0.03030100,0.03116900,258714.39200000,7986.32579653,139551
1607040000000,2020-12-04 00:00:00,ETH/BTC,0.03170800,0.03176900,0.03040400,0.03041600,360755.22500000,11245.38622929,195556
