https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,ETH/BTC,0.03882000,0.03905000,0.03861800,0.03868800,3749.42000000,145.69537457,4452
1611100800000,2021-01-20 00:00:00,ETH/BTC,0.03807900,0.03899300,0.03627200,0.03881900,504868.53900000,19123.19446230,559594
1611014400000,2021-01-19 00:00:00,ETH/BTC,0.03436300,0.03887700,0.03424100,0.03807900,652730.69900000,24238.27426400,529610
1610928000000,2021-01-18 00:00:00,ETH/BTC,0.03440000,0.03464300,0.03328600,0.03435700,296037.99600000,10061.41461716,247006
1610841600000,2021-01-17 00:00:00,ETH/BTC,0.03411000,0.03487700,0.03375800,0.03440000,311123.37100000,10689.35257766,313857
1610755200000,2021-01-16 00:00:00,ETH/BTC,0.03180500,0.03482900,0.03164700,0.03411400,371173.99700000,12329.32321701,398589
1610668800000,2021-01-15 00:00:00,ETH/BTC,0.03145500,0.03257700,0.03111400,0.03181200,435872.08300000,13921.23314208,428390
1610582400000,2021-01-14 00:00:00,ETH/BTC,0.03023400,0.03152200,0.02944000,0.03145100,398031.01900000,12091.72746724,366196
1610496000000,2021-01-13 00:00:00,ETH/BTC,0.03085200,0.03137100,0.03002700,0.03023200,314834.42800000,9690.65379761,337982
1610409600000,2021-01-12 00:00:00,ETH/BTC,0.03069200,0.03215400,0.03027500,0.03085100,404213.12800000,12584.35865709,366838
1610323200000,2021-01-11 00:00:00,ETH/BTC,0.03287700,0.03306100,0.02971000,0.03070000,768405.68300000,23910.39950410,745797
1610236800000,2021-01-10 00:00:00,ETH/BTC,0.03183000,0.03387300,0.03156500,0.03287800,562292.17600000,18450.41076023,492554
1610150400000,2021-01-09 00:00:00,ETH/BTC,0.02997700,0.03219500,0.02946600,0.03183000,429652.20700000,13114.34580400,370234
1610064000000,2021-01-08 00:00:00,ETH/BTC,0.03104800,0.03115700,0.02900300,0.02997500,494495.49000000,14904.87328302,461815
1609977600000,2021-01-07 00:00:00,ETH/BTC,0.03287300,0.03301600,0.03090100,0.03104800,497566.14800000,15937.87823192,430443
1609891200000,2021-01-06 00:00:00,ETH/BTC,0.03239600,0.03452000,0.03132300,0.03287300,595927.88600000,19513.97251707,522426
1609804800000,2021-01-05 00:00:00,ETH/BTC,0.03255200,0.03455500,0.03109400,0.03239300,711228.33500000,23326.86644554,629535
1609718400000,2021-01-04 00:00:00,ETH/BTC,0.02963900,0.03500000,0.02892900,0.03255100,1065276.77600000,34052.77416581,962251
1609632000000,2021-01-03 00:00:00,ETH/BTC,0.02406200,0.03050000,0.02308300,0.02964000,879979.85100000,23408.58952013,671050
1609545600000,2021-01-02 00:00:00,ETH/BTC,0.02485100,0.02495500,0.02354000,0.02406200,392306.65200000,9538.47358520,271256
1609459200000,2021-01-01 00:00:00,ETH/BTC,0.02546400,0.02555100,0.02480000,0.02485000,218305.47200000,5498.47719109,140532
1609372800000,2020-12-31 00:00:00,ETH/BTC,0.02604500,0.02610500,0.02538100,0.02545800,231256.59500000,5941.62586171,163547
1609286400000,2020-12-30 00:00:00,ETH/BTC,0.02673300,0.02700200,0.02577200,0.02604600,332506.76000000,8698.20813128,206933
1609200000000,2020-12-29 00:00:00,ETH/BTC,0.02697400,0.02737600,0.02630000,0.02673200,272507.13800000,7341.05401959,214069
