https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC,tradecount
1611187200000,2021-01-21 00:00:00,XRP/BTC,0.00000833,0.00000838,0.00000831,0.00000834,819688.00000000,6.84007219,513
1611100800000,2021-01-20 00:00:00,XRP/BTC,0.00000820,0.00000874,0.00000804,0.00000832,123240635.00000000,1023.94944556,76140
1611014400000,2021-01-19 00:00:00,XRP/BTC,0.00000780,0.00000906,0.00000774,0.00000819,257865675.00000000,2139.40823131,111339
1610928000000,2021-01-18 00:00:00,XRP/BTC,0.00000775,0.00000790,0.00000763,0.00000778,90361168.00000000,703.71909930,51393
1610841600000,2021-01-17 00:00:00,XRP/BTC,0.00000776,0.00000794,0.00000763,0.00000774,96972319.00000000,755.16727241,51863
1610755200000,2021-01-16 00:00:00,XRP/BTC,0.00000761,0.00000784,0.00000752,0.00000774,127505493.00000000,981.64463223,62134
1610668800000,2021-01-15 00:00:00,XRP/BTC,0.00000758,0.00000783,0.00000749,0.00000761,165925182.00000000,1271.42465644,70129
1610582400000,2021-01-14 00:00:00,XRP/BTC,0.00000818,0.00000819,0.00000741,0.00000757,186772052.00000000,1440.65695340,84207
1610496000000,2021-01-13 00:00:00,XRP/BTC,0.00000858,0.00000891,0.00000810,0.00000818,161816300.00000000,1390.59649455,91778
1610409600000,2021-01-12 00:00:00,XRP/BTC,0.00000811,0.00000880,0.00000760,0.00000860,240835208.00000000,2030.31848827,115779
1610323200000,2021-01-11 00:00:00,XRP/BTC,0.00000825,0.00000886,0.00000750,0.00000812,385366406.00000000,3167.65426715,182670
1610236800000,2021-01-10 00:00:00,XRP/BTC,0.00000808,0.00000909,0.00000801,0.00000824,335849348.00000000,2812.83906449,155743
1610150400000,2021-01-09 00:00:00,XRP/BTC,0.00000790,0.00000835,0.00000766,0.00000808,232872836.00000000,1856.70119427,107814
1610064000000,2021-01-08 00:00:00,XRP/BTC,0.00000821,0.00000873,0.00000756,0.00000789,382881614.00000000,3074.87931587,181816
1609977600000,2021-01-07 00:00:00,XRP/BTC,0.00000677,0.00000955,0.00000668,0.00000822,982127795.00000000,8196.89259068,434249
1609891200000,2021-01-06 00:00:00,XRP/BTC,0.00000666,0.00000795,0.00000638,0.00000676,460444411.00000000,3200.18456300,170884
1609804800000,2021-01-05 00:00:00,XRP/BTC,0.00000736,0.00000767,0.00000653,0.00000665,253550073.00000000,1802.07209631,109602
